date,city,temperature,humidity,wind_speed
2023-07-01,Delhi,24.42,54.03,6.14
2023-07-01,Mumbai,24.52,63.74,21.07
2023-07-01,Kolkata,21.62,55.85,11.37
2023-07-01,Chennai,22.44,51.57,16.27
2023-07-01,Bangalore,22.6,64.81,20.28
2023-07-01,Hyderabad,23.6,36.45,15.64
2023-07-01,Ahmedabad,26.76,73.73,13.78
2023-07-01,Pune,23.85,65.79,13.41
2023-07-01,Jaipur,26.92,77.0,9.57
2023-07-01,Lucknow,22.96,47.77,5.15
2023-07-01,Kanpur,19.6,51.08,23.72
2023-07-01,Nagpur,28.24,67.19,6.97
2023-07-01,Indore,15.06,30.45,15.06
2023-07-01,Bhopal,20.78,65.65,24.17
2023-07-01,Patna,24.89,58.15,6.46
2023-07-01,Ludhiana,26.22,81.39,5.4
2023-07-01,Agra,23.75,76.61,24.96
2023-07-01,Nashik,24.35,62.32,10.45
2023-07-01,Vadodara,23.18,45.72,21.42
2023-07-01,Faridabad,26.29,80.57,9.33
2023-07-01,Meerut,15.26,41.31,18.16
2023-07-01,Rajkot,19.27,48.01,14.19
2023-07-01,Kalyan,19.86,35.33,5.0
2023-07-01,Vasai,27.17,67.19,5.32
2023-07-01,Varanasi,25.48,71.91,16.49
2023-07-01,Srinagar,22.09,63.35,10.0
2023-07-01,Amritsar,23.77,67.02,12.87
2023-07-01,Ranchi,18.89,60.72,14.98
2023-07-01,Jodhpur,17.65,33.26,23.04
2023-07-01,Guwahati,24.27,72.33,18.09
2023-07-01,Chandigarh,23.88,69.62,20.95
2023-07-01,Mysore,24.28,41.54,8.95
2023-07-02,Delhi,23.02,72.74,24.0
2023-07-02,Mumbai,24.45,86.78,8.99
2023-07-02,Kolkata,20.53,57.21,22.77
2023-07-02,Chennai,27.57,80.68,16.94
2023-07-02,Bangalore,22.23,64.74,24.05
2023-07-02,Hyderabad,18.78,58.37,14.32
2023-07-02,Ahmedabad,22.8,57.33,14.95
2023-07-02,Pune,24.84,77.38,18.34
2023-07-02,Jaipur,19.17,55.92,24.12
2023-07-02,Lucknow,22.5,56.73,15.03
2023-07-02,Kanpur,28.21,61.82,8.38
